exp_id,agent,space,step,collided
2,dqn,symmetric_2_space,135,True
2,dqn,symmetric_2_space,136,True
2,dqn,symmetric_2_space,137,True
2,dqn,symmetric_2_space,138,True
2,dqn,symmetric_2_space,139,True
2,dqn,symmetric_2_space,140,True
2,dqn,symmetric_2_space,141,True
2,dqn,symmetric_2_space,142,True
2,dqn,symmetric_2_space,143,True
2,dqn,symmetric_2_space,144,True
2,dqn,symmetric_2_space,145,True
2,dqn,symmetric_2_space,146,True
2,dqn,symmetric_2_space,147,True
2,dqn,symmetric_2_space,148,True
2,dqn,symmetric_2_space,149,True
2,dqn,symmetric_2_space,150,True
2,dqn,symmetric_2_space,151,True
2,dqn,symmetric_2_space,152,True
2,dqn,symmetric_2_space,153,True
2,dqn,symmetric_2_space,154,True
2,dqn,symmetric_2_space,155,True
2,dqn,symmetric_2_space,156,True
2,dqn,symmetric_2_space,157,True
2,dqn,symmetric_2_space,158,True
2,dqn,symmetric_2_space,159,True
2,dqn,symmetric_2_space,160,True
2,dqn,symmetric_2_space,161,True
2,dqn,symmetric_2_space,162,True
2,dqn,symmetric_2_space,163,True
2,dqn,symmetric_2_space,164,True
2,dqn,symmetric_2_space,165,True
2,dqn,symmetric_2_space,166,True
2,dqn,symmetric_2_space,167,True
2,dqn,symmetric_2_space,168,True
2,dqn,symmetric_2_space,169,True
2,dqn,symmetric_2_space,170,True
2,dqn,symmetric_2_space,171,True
2,dqn,symmetric_2_space,172,True
2,dqn,symmetric_2_space,173,True
2,dqn,symmetric_2_space,174,True
2,dqn,symmetric_2_space,175,True
2,dqn,symmetric_2_space,176,True
2,dqn,symmetric_2_space,177,True
2,dqn,symmetric_2_space,178,True
2,dqn,symmetric_2_space,179,True
2,dqn,symmetric_2_space,180,True
2,dqn,symmetric_2_space,181,True
2,dqn,symmetric_2_space,182,True
2,dqn,symmetric_2_space,183,True
2,dqn,symmetric_2_space,184,True
2,dqn,symmetric_2_space,185,True
2,dqn,symmetric_2_space,186,True
2,dqn,symmetric_2_space,187,True
2,dqn,symmetric_2_space,188,True
2,dqn,symmetric_2_space,189,True
2,dqn,symmetric_2_space,190,True
2,dqn,symmetric_2_space,191,True
2,dqn,symmetric_2_space,192,True
2,dqn,symmetric_2_space,193,True
2,dqn,symmetric_2_space,194,True
2,dqn,symmetric_2_space,195,True
2,dqn,symmetric_2_space,196,True
2,dqn,symmetric_2_space,197,True
2,dqn,symmetric_2_space,198,True
2,dqn,symmetric_2_space,199,True
2,dqn,symmetric_2_space,200,True
2,dqn,symmetric_2_space,201,True
2,dqn,symmetric_2_space,202,True
2,dqn,symmetric_2_space,203,True
2,dqn,symmetric_2_space,204,True
2,dqn,symmetric_2_space,205,True
2,dqn,symmetric_2_space,206,True
2,dqn,symmetric_2_space,207,True
2,dqn,symmetric_2_space,208,True
2,dqn,symmetric_2_space,209,True
2,dqn,symmetric_2_space,210,True
2,dqn,symmetric_2_space,211,True
2,dqn,symmetric_2_space,212,True
2,dqn,symmetric_2_space,213,True
2,dqn,symmetric_2_space,214,True
2,dqn,symmetric_2_space,215,True
2,dqn,symmetric_2_space,216,True
2,dqn,symmetric_2_space,217,True
2,dqn,symmetric_2_space,218,True
2,dqn,symmetric_2_space,219,True
2,dqn,symmetric_2_space,220,True
2,dqn,symmetric_2_space,221,True
2,dqn,symmetric_2_space,222,True
2,dqn,symmetric_2_space,223,True
2,dqn,symmetric_2_space,224,True
2,dqn,symmetric_2_space,225,True
2,dqn,symmetric_2_space,226,True
2,dqn,symmetric_2_space,227,True
2,dqn,symmetric_2_space,228,True
2,dqn,symmetric_2_space,229,True
2,dqn,symmetric_2_space,230,True
2,dqn,symmetric_2_space,231,True
2,dqn,symmetric_2_space,232,True
2,dqn,symmetric_2_space,233,True
2,dqn,symmetric_2_space,234,True
2,dqn,symmetric_2_space,235,True
2,dqn,symmetric_2_space,236,True
2,dqn,symmetric_2_space,237,True
2,dqn,symmetric_2_space,238,True
