exp_id,agent,space,start_pos,early_stop_enabled,start_pos_pool,sigma,obs_mode,seed,episodes,max_steps,learning_rate,gamma,batch_size,replay_capacity,target_update_freq,epsilon,min_epsilon,epsilon_anneal_steps,reward_scale,reward_fn,stopped_early,best_eval_reward,early_stop_counter,final_epsilon,training_steps,eval_cumulative_reward,eval_total_steps,eval_total_agent_moves,eval_total_failed_moves,eval_total_targets_reached,eval_total_collision,eval_targets_remaining,rollout_size,gae_lambda,clip_epsilon,update_epochs,early_stop
3,dqn,symmetric_2_space,,False,"[(5.0, 3.0), (15.0, 3.0)]",0.0,both,0,3000,500,0.001,0.98,64,50000.0,500.0,1.0,0.02,250000.0,100.0,dqn,False,-inf,0,0.4263981599999999,146327.0,3995.0,6,6,0,1,0,0,,,,,False
0,ppo,symmetric_2_space,,True,"[(5.0, 3.0), (15.0, 3.0)]",0.0,sensors,0,20000,500,0.0001,0.999,64,,,,,,,default,True,3991.0,10,,,3991.0,10,10,0,1,0,0,512.0,0.99,0.2,4.0,True
1,ppo,symmetric_2_space,,True,"[(5.0, 3.0), (15.0, 3.0)]",0.0,both,0,20000,500,0.0001,0.999,64,,,,,,,default,True,3991.0,10,,,3990.0,11,11,0,1,0,0,512.0,0.99,0.2,4.0,True
2,dqn,symmetric_2_space,,True,"[(5.0, 3.0), (15.0, 3.0)]",0.0,sensors,0,3000,500,0.001,0.98,64,50000.0,500.0,1.0,0.02,250000.0,100.0,dqn,False,-inf,0,0.02,1278193.0,-4901.0,500,500,0,0,489,1,,,,,True
