exp_id,agent,space,step,loc_x,lox_y
2,dqn,symmetric_2_space,57,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,58,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,59,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,60,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,61,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,62,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,63,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,64,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,65,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,66,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,67,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,68,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,69,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,70,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,71,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,72,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,73,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,74,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,75,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,76,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,77,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,78,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,79,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,80,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,81,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,82,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,83,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,84,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,85,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,86,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,87,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,88,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,89,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,90,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,91,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,92,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,93,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,94,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,95,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,96,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,97,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,98,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,99,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,100,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,101,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,102,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,103,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,104,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,105,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,106,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,107,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,108,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,109,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,110,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,111,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,112,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,113,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,114,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,115,3.3585786437626908,19.6999
